Name,Sound,Bus,Volume,PitchMin,PitchMax,bSpatial,Cooldown,Lead,Description
Wave_Clear,/Game/Audio/World/S_Wave_Clear.S_Wave_Clear,Effects,0.80,1.00,1.00,False,1.00,0.063,"The last of a wave down and the arena unlocking. A release, not a fanfare."
Stage_Clear,/Game/Audio/UI/S_Stage_Clear.S_Stage_Clear,Interface,1.00,1.00,1.00,False,2.00,0.138,An area beaten. This one can be a fanfare.
Stage_Fail,/Game/Audio/UI/S_Stage_Fail.S_Stage_Fail,Interface,1.00,1.00,1.00,False,2.00,0.494,Ahmed down. Low and slow; no sting.
Level_Up,/Game/Audio/UI/S_Level_Up.S_Level_Up,Interface,0.95,1.00,1.00,False,1.00,0.007,"A rank gained from fighting. Bright, short, upward."
Upgrade_Bought,/Game/Audio/UI/S_Upgrade_Bought.S_Upgrade_Bought,Interface,0.80,1.00,1.00,False,0.20,0.050,XP spent at the training camp. A confirm with weight; money changing hands.
UI_Tap,/Game/Audio/UI/S_UI_Tap.S_UI_Tap,Interface,0.60,0.98,1.02,False,0.03,0.022,"Any button. Quiet, dry, instant."
UI_Back,/Game/Audio/UI/S_UI_Back.S_UI_Back,Interface,0.55,0.98,1.02,False,0.05,0.030,"Going back a screen. UI_Tap, lower."
UI_Denied,/Game/Audio/UI/S_UI_Denied.S_UI_Denied,Interface,0.65,1.00,1.00,False,0.20,0.063,"A button that will not: not enough XP, a locked mode. Short, flat, not rude."
Weapon_Pickup,/Game/Audio/Combat/S_Weapon_Pickup.S_Weapon_Pickup,Effects,0.75,0.97,1.03,True,0.30,0.050,"A pipe, plank or crowbar picked up out of a smashed crate."
Weapon_Swing,/Game/Audio/Combat/S_Weapon_Swing.S_Weapon_Swing,Effects,0.65,0.94,1.06,True,0.05,0.101,"An armed punch cutting air. Heavier than Whoosh_Heavy and with the object's own sound: pipe ring, plank whip."
Weapon_Hit,/Game/Audio/Combat/S_Weapon_Hit.S_Weapon_Hit,Effects,1.00,0.95,1.04,True,0.06,0.007,An armed punch landing. Steel or wood on body.
Weapon_Break,/Game/Audio/Combat/S_Weapon_Break.S_Weapon_Break,Effects,0.90,0.98,1.02,True,0.50,0.227,"The last use spent: the plank splitting, the pipe clanging away."
Crate_Break,/Game/Audio/World/S_Crate_Break.S_Crate_Break,Effects,0.80,0.94,1.06,True,0.10,0.017,"A crate or barrel giving way. Wood splintering, or a barrel's hollow clang."
Pickup_Health,/Game/Audio/World/S_Pickup_Health.S_Pickup_Health,Effects,0.70,1.00,1.00,True,0.20,0.068,"The skewer. Warm, quick."
Pickup_Rage,/Game/Audio/World/S_Pickup_Rage.S_Pickup_Rage,Effects,0.75,1.00,1.00,True,0.20,0.062,The rage orb. A charge taken in; a little electric.
Music_Stage,/Game/Audio/Music/M_Stage.M_Stage,Music,0.80,1.00,1.00,False,0.00,0.000,The fight loop. One track per theme is the intent; start with one and cast per stage later.
Music_Menu,/Game/Audio/Music/M_Menu.M_Menu,Music,0.70,1.00,1.00,False,0.00,0.000,"The title screen. Slower than the fight loop, same key."
Music_Boss,/Game/Audio/Music/M_Boss.M_Boss,Music,0.85,1.00,1.00,False,0.00,0.000,The two title fights. The stage loop with the floor taken out.
